location,event_date,check_in_from,check_in_to,event_title,job_family,company_name_or_type,qualifications,borough,location_name_and_address
Queens Workforce1 Career Center,"Wednesday, October 09, 2019",8:45 AM,9:00 AM,Driver,"Transportation, Shipping, Warehousing",UPS,Must have valid drivers license. Must drive stick shift.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Flushing Library Workforce1 Career Center,"Tuesday, October 08, 2019",1:00 PM,2:00 PM,Direct Support Professionals,"Social Work, Child Care, Counseling",Eihab Human Services,"Drivers license required. Minimum 2 years of experience with human services background & social services. Must have HSD/GED, Associates, BA.",Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
Queens Workforce1 Career Center,"Tuesday, October 08, 2019",8:45 AM,9:00 AM,Licensed Security Guards,Protective Service,Brosnan Risk Consultants,Must have valid 8 & 16 hr. certificate and security license. HSD/GED is required.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Friday, October 11, 2019",8:45 AM,9:00 AM,Security Guards,Protective Service,Core SVCS,Must have HSD/GED. Must have valid 8 & 16 hr. certificate and NYS Security License. Must be able to stand for long periods of time.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",8:45 AM,9:00 AM,Hosts,Food Service and Accommodations,OTG Management,"Must have 6 months experience. Must have open and flexible availability. Must be able to work nights, weekends, and holidays.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Monday, October 07, 2019",1:30 PM,1:45 PM,Supervisors,Customer Service (Non-Sales),GAP,Must have 1 year managerial experience.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Monday, October 07, 2019",8:45 AM,9:00 AM,Direct Support Professionals,"Social Work, Child Care, Counseling",YAI,Must have HSD/GED. Must have open and flexible availability. Must have prior experience working with the Developmentally Disabled population.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
ITC - Queens,"Thursday, October 10, 2019",8:30 AM,9:00 AM,Foot Courier Recruitment Event,"Transportation, Shipping, Warehousing",Transportation Company,"Valid smart phone, able to work flexible shifts, able to lift up to 100 lbs. and stand for 8 hours.",Queens,"ITC - Queens, 168-46 91st Ave, 2nd Floor, Jamaica, NY 11432"
Rockaway Workforce1 Career Center,"Wednesday, October 09, 2019",8:45 AM,9:00 AM,Assistant Director of Front Office,"Office, Administration, Support",TWA Hotel,At least 4 years of experience in the hotel industry.,Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,Marketing Representatives,"Sales, Marketing, Wholesaling",MetroPlus Health Plan,Proficient English and Mandarin/Spanish/Russian/Korean/Urdu/Bengali/Hindi. 2 years of sales/customer relations and public speaking/presentation/workshop/office experience.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,"Prep Cooks, Line Cooks, Dishwashers, Servers, Food Runners",Food Service and Accommodations,OTG Management,"Must have 1 year experience in a restaurant. Must have open and flexible availability. Must be able to work nights, weekends, and holidays.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,Security Guards,Protective Service,Global Elite Group,Must have valid 8 & 16 hour certificate and NYS Security License.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Rockaway Workforce1 Career Center,"Tuesday, October 08, 2019",8:45 AM,9:00 AM,Sander,Building Cleaning and Maintenance,Rhonda Custom Framing,"Must have at least 6 months of woodworking, furniture sanding or auto body repair experience.",Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
Flushing Library Workforce1 Career Center,"Thursday, October 10, 2019",9:30 AM,11:00 AM,Customer Service,Customer Service (Non-Sales),Spectrum,Must have related work experience.,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,Case Managers,"Social Work, Child Care, Counseling",YAI,"2 years experience required, bachelor's degree in social.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,Seasonal Customer Service Intern,Customer Service (Non-Sales),Uncommon Goods,Minimum of 90 credits towards a Bachelors degree or Bachelors degree. Intermediate to advanced computer skills including Excel. Excellent verbal and written communication skills.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Friday, October 11, 2019",1:30 PM,1:45 PM,Case Managers,"Social Work, Child Care, Counseling",Core,Bachelors degree in social work or related field from an accredited college or university required. Must be computer literate.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,Bilingual Customer Service Representatives,Customer Service (Non-Sales),Cyracom,Must be bilingual Burmese/Haitian Creole/Arabic/Cambodian/Cantonese/Karen/Mandarin/Korean/Nepali/Somali/Swahili/Thai/Lao/Russian/Vietnamese/French/more.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Rockaway Workforce1 Career Center,"Thursday, October 10, 2019",8:45 AM,9:00 AM,Security Guard,Protective Service,Sera Security,Must have HSD/GED. Must have NYS Security Guard License and F-02.,Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
Queens Workforce1 Career Center,"Tuesday, October 08, 2019",8:45 AM,9:00 AM,Licensed Security Guards,Protective Service,Sentinel,Must have valid 8 & 16 hr. certificate and security license.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,"Program Directors, Director of Social Services, Operations Managers, Case Managers, Case Managers, Senior Case Managers, Case Workers, Residential Aides, Shift Supervisors, Social Workers, Housing Specialists, Employment Specialists","Social Work, Child Care, Counseling",Acacia,"3 years of experience working in a residential and/or shelter setting. Knowledge of crisis prevention, intervention, and resolution techniques. Must have HSD/GED, Associates, or BA.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Flushing Library Workforce1 Career Center,"Monday, October 07, 2019",1:00 PM,2:00 PM,Security Guards,Protective Service,Defender Security Services,Must have valid 8 & 16 hour certificate and NYS Security License.,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
ITC - Staten Island,"Thursday, October 10, 2019",9:00 AM,3:00 PM,Pest/Termite Control,Building Cleaning and Maintenance,Pest Control Company,Seeking pest/termite control technicians. Experience in light carpentry preferred. Must have safe drivers license. Shift is Monday-Friday 7am-4pm. Company offering benefits and paid time off. $17 hourly.,Staten Island,"ITC - Staten Island, 1972 Richmond Terrace, Staten Island, NY 10302"
Flushing Library Workforce1 Career Center,"Friday, October 11, 2019",9:30 AM,11:00 AM,"Coordinators, Non-Certified/Certified HHAs, Free Mandarin/Spanish/English Classes",Healthcare Practitioners and Support,Americare,"Preferred languages: Mandarin, Spanish, English",Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
Queens Workforce1 Career Center,"Friday, October 11, 2019",1:30 PM,1:45 PM,Customer Service Supervisor,Customer Service (Non-Sales),Uncommon Goods,Minimum of 3 years of leadership and coaching experience. Prior experience hiring and training team members.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Monday, October 07, 2019",1:30 PM,1:45 PM,Residential Aide,Protective Service,Core SVCS,HSD/GED required. Excellent customer service skills. Must be able to stand for long periods of time.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
